Id,SalePrice
1461,116340.8476
1462,114017.4325
1463,198143.8482
1464,200908.1697
1465,184213.5808
1466,187060.8007
1467,184214.6113
1468,200907.7899
1469,178434.9825
1470,127257.8243
1471,203722.2251
1472,128978.8067
1473,128978.8067
1474,137097.1754
1475,137097.1754
1476,237721.9837
1477,237721.988
1478,222812.2777
1479,222812.7276
1480,215927.9699
1481,212700.1619
1482,226446.2481
1483,222813.3235
1484,226444.4799
1485,219297.7
1486,219296.7309
1487,200909.4024
1488,222811.7292
1489,237721.2477
1490,222812.0603
1491,219297.458
1492,108207.2711
1493,134899.8762
1494,187061.4045
1495,184215.3471
1496,219295.4647
1497,219294.7604
1498,219294.5634
1499,219294.0464
1500,222808.9415
1501,206611.525
1502,215924.0301
1503,241507.6282
1504,206613.5278
1505,212698.9816
1506,122777.2647
1507,187060.9689
1508,144305.0038
1509,128982.6564
1510,121488.4125
1511,121488.4804
1512,122777.0943
1513,119191.8082
1514,117223.5398
1515,110754.4775
1516,109895.3121
1517,121488.7882
1518,114016.227
1519,215926.7405
1520,114741.1656
1521,114741.7994
1522,114741.6519
1523,112714.1488
1524,110754.7398
1525,112141.2244
1526,114017.3246
1527,108206.7944
1528,109725.3243
1529,115515.0969
1530,118170.7277
1531,116651.726
1532,108205.5444
1533,113339.3372
1534,109952.1777
1535,109726.1748
1536,108206.8878
1537,108434.5333
1538,116653.2572
1539,126248.5346
1540,110007.2096
1541,108326.4802
1542,110119.5195
1543,108325.809
1544,108720.4048
1545,109877.7561
1546,109795.4318
1547,109637.5533
1548,109724.6712
1549,110048.5186
1550,109598.8788
1551,108433.526
1552,108566.2896
1553,109278.8048
1554,108204.7057
1555,114742.5789
1556,108309.8345
1557,108566.7345
1558,109795.4322
1559,111506.2434
1560,110006.3205
1561,122777.3306
1562,121487.9538
1563,124163.8282
1564,144302.9468
1565,124164.6237
1566,141810.5185
1567,109070.0449
1568,144304.7877
1569,109954.3684
1570,110121.0162
1571,109612.2887
1572,111622.2647
1573,237722.6627
1574,119191.9298
1575,169608.7591
1576,187061.269
1577,241506.3966
1578,116654.1275
1579,195398.9685
1580,198142.9803
1581,141809.9111
1582,130831.8517
1583,215927.264
1584,198142.9892
1585,215925.3836
1586,109525.2688
1587,111622.1003
1588,124164.3778
1589,109726.1638
1590,137099.4221
1591,114015.665
1592,108566.5375
1593,109878.361
1594,122776.4405
1595,109751.7363
1596,109713.9351
1597,110121.6938
1598,189873.3299
1599,175505.9553
1600,175505.9553
1601,109713.3866
1602,108248.7394
1603,120381.5476
1604,219294.939
1605,200908.3951
1606,141808.8947
1607,139406.3648
1608,233939.1676
1609,237721.3844
1610,226446.9506
1611,120295.6896
1612,219297.095
1613,203723.7861
1614,132803.7589
1615,127253.9837
1616,127254.5412
1617,130828.8133
1618,128981.9438
1619,160789.9853
1620,163709.9762
1621,181338.7257
1622,125655.7254
1623,189871.8142
1624,187061.3737
1625,113383.1
1626,135566.945
1627,198811.1513
1628,216595.5242
1629,196066.3321
1630,219964.3539
1631,201575.4838
1632,193314.8363
1633,201575.9032
1634,201575.5194
1635,190539.5369
1636,187728.0707
1637,142477.345
1638,144972.2068
1639,144971.7812
1640,150211.0386
1641,144971.8133
1642,216594.3721
1643,207281.5441
1644,213367.088
1645,137768.2783
1646,135566.9319
1647,137768.6419
1648,127925.6494
1649,129650.3705
1650,127925.4138
1651,129650.4942
1652,133470.9572
1653,131496.5335
1654,140070.5681
1655,137765.1557
1656,142473.7609
1657,144968.3995
1658,144968.3995
1659,140070.3638
1660,122156.6345
1661,230837.8235
1662,238389.875
1663,234607.2307
1664,230837.7343
1665,234607.0881
1666,219966.2056
1667,230838.909
1668,234606.844
1669,227115.1598
1670,234607.4297
1671,216595.7188
1672,216596.0958
1673,216595.7837
1674,227114.8982
1675,223479.127
1676,223478.4675
1677,230837.1068
1678,219965.9218
1679,216596.094
1680,234606.0963
1681,234605.8032
1682,213368.597
1683,216592.8284
1684,223480.1415
1685,223479.6925
1686,223477.4161
1687,219964.9216
1688,219964.5529
1689,219965.0778
1690,216594.9187
1691,216594.7146
1692,213368.0158
1693,219964.9908
1694,207281.8031
1695,204390.8237
1696,204392.4107
1697,204390.8515
1698,207282.7111
1699,190539.9783
1700,193315.1137
1701,187729.1264
1702,234607.0136
1703,234606.8095
1704,230837.0685
1705,227114.7762
1706,223480.1816
1707,234606.2695
1708,234606.4415
1709,230837.5516
1710,227114.3396
1711,227115.1044
1712,234606.3057
1713,227115.109
1714,216594.8615
1715,216594.7019
1716,230836.951
1717,227114.3396
1718,219964.4148
1719,219965.1849
1720,219965.0812
1721,219965.6421
1722,219965.6421
1723,216595.6441
1724,234606.0777
1725,196067.0245
1726,184882.5136
1727,179102.191
1728,190539.6124
1729,167322.2061
1730,152938.271
1731,117890.8409
1732,117008.1366
1733,117008.2824
1734,120962.574
1735,118838.2102
1736,117890.1557
1737,150211.5586
1738,182006.9969
1739,219962.3007
1740,234604.6444
1741,234604.857
1742,207279.5186
1743,204389.2307
1744,142477.8109
1745,152939.6523
1746,140073.7166
1747,135567.4348
1748,123445.2331
1749,126323.4985
1750,126323.3559
1751,142477.668
1752,123444.3992
1753,123445.0563
1754,135566.811
1755,129651.8333
1756,116183.0189
1757,115409.1664
1758,114008.394
1759,113383.1812
1760,117008.3474
1761,119859.7676
1762,120962.4904
1763,117008.7998
1764,112808.9635
1765,123445.1243
1766,117008.619
1767,122157.3333
1768,113382.2266
1769,116184.128
1770,115409.4505
1771,113382.224
1772,112808.7204
1773,113382.6057
1774,114684.5103
1775,112289.8946
1776,111076.2966
1777,110193.1731
1778,111421.9209
1779,111827.7209
1780,110394.0731
1781,110788.6016
1782,114683.295
1783,110547.0349
1784,117320.8747
1785,109389.9665
